,Review,Language,Translated,review_lower,review_nopunc,review_nostop,review_noother,cleaned_review,polarity,subjectivity
0,"Ich habe kürzlich die SanDisk Ultra microSDXC UHS-I Speicherkarte mit 128 GB bei Amazon gekauft, um sie als Speichererweiterung für meine DJI Drohne zu verwenden. Nach einigen Wochen intensiver Nutzung möchte ich meine Erfahrungen teilen und diese Speicherkarte unbedingt weiterempfehlen.Geschwindigkeit und Leistung:Die SanDisk Ultra microSDXC Karte hat mich mit ihrer Geschwindigkeit und Leistung beeindruckt. Die Karte erreicht UHS-I Geschwindigkeitsklassen von bis zu 120 MB/s, was für das Aufzeichnen von hochauflösenden Videos und das schnelle Übertragen von Daten auf meinem Drohnen-Setup mehr als ausreichend ist. Die flüssige Wiedergabe von 4K-Videos und die schnelle Zugriffszeit sind bemerkenswert.Kapazität:Die 128 GB Kapazität bietet mir genügend Speicherplatz für stundenlange Videoaufnahmen und zahlreiche hochauflösende Fotos. Ich muss mir keine Sorgen machen, dass der Speicherplatz während eines Drohnenfluges ausgeht.Zuverlässigkeit:Bisher habe ich keine Probleme mit Datenverlust oder Kartenfehlern gehabt. Die SanDisk Ultra microSDXC UHS-I Karte scheint sehr zuverlässig zu sein, was für mich als Drohnenpilot besonders wichtig ist. Ich kann mich darauf verlassen, dass meine wertvollen Aufnahmen sicher gespeichert werden.Kompatibilität:Die Karte ist problemlos mit meiner DJI Drohne kompatibel und funktioniert einwandfrei. Der Einbau der Speicherkarte war unkompliziert, und die Drohne hat sie sofort erkannt.Preis-Leistungs-Verhältnis:Das Preis-Leistungs-Verhältnis dieser SanDisk Ultra microSDXC Karte ist ausgezeichnet. Sie bietet viel Speicherplatz, schnelle Übertragungsgeschwindigkeiten und hohe Zuverlässigkeit zu einem fairen Preis. Bei Amazon habe ich sie zu einem attraktiven Preis erworben.Insgesamt bin ich äußerst zufrieden mit der SanDisk Ultra microSDXC UHS-I Speicherkarte 128 GB und kann sie definitiv für DJI Drohnenbesitzer empfehlen. Die Karte bietet hervorragende Leistung, ausreichend Speicherplatz und ein gutes Preis-Leistungs-Verhältnis, was sie zu einer idealen Wahl für Drohnenpiloten macht.",de,"I recently purchased the SanDisk Ultra microSDXC UHS-I 128GB memory card from Amazon to use as a memory expansion for my DJI drone. After a few weeks of intensive use, I would like to share my experience and definitely recommend this memory card.Speed and performance:The SanDisk Ultra microSDXC card impressed me with its speed and performance. The card achieves UHS-I speed ratings of up to 120 MB/s, which is more than sufficient for recording high-definition video and quickly transferring data on my drone setup. The smooth playback of 4K videos and fast access time are remarkable.Capacity:The 128GB capacity gives me enough storage for hours of video recording and numerous high-resolution photos. I don't have to worry about running out of storage space during a drone flight.Reliability:So far, I haven't had any problems with data loss or card errors. The SanDisk Ultra microSDXC UHS-I card seems to be very reliable, which is especially important for me as a drone pilot. I can rely on my precious recordings being stored safely.Compatibility:The card is compatible with my DJI drone without any problems and works flawlessly. Installing the memory card was straightforward and the drone recognised it immediately.Value for money:The value for money of this SanDisk Ultra microSDXC card is excellent. It offers plenty of storage space, fast transfer speeds and high reliability at a fair price. I purchased it from Amazon at an attractive price.Overall, I am extremely satisfied with the SanDisk Ultra microSDXC UHS-I memory card 128 GB and can definitely recommend it for DJI drone owners. The card offers excellent performance, sufficient storage space and good value for money, making it an ideal choice for drone pilots.","i recently purchased the sandisk ultra microsdxc uhs-i 128gb memory card from amazon to use as a memory expansion for my dji drone. after a few weeks of intensive use, i would like to share my experience and definitely recommend this memory card.speed and performance:the sandisk ultra microsdxc card impressed me with its speed and performance. the card achieves uhs-i speed ratings of up to 120 mb/s, which is more than sufficient for recording high-definition video and quickly transferring data on my drone setup. the smooth playback of 4k videos and fast access time are remarkable.capacity:the 128gb capacity gives me enough storage for hours of video recording and numerous high-resolution photos. i don't have to worry about running out of storage space during a drone flight.reliability:so far, i haven't had any problems with data loss or card errors. the sandisk ultra microsdxc uhs-i card seems to be very reliable, which is especially important for me as a drone pilot. i can rely on my precious recordings being stored safely.compatibility:the card is compatible with my dji drone without any problems and works flawlessly. installing the memory card was straightforward and the drone recognised it immediately.value for money:the value for money of this sandisk ultra microsdxc card is excellent. it offers plenty of storage space, fast transfer speeds and high reliability at a fair price. i purchased it from amazon at an attractive price.overall, i am extremely satisfied with the sandisk ultra microsdxc uhs-i memory card 128 gb and can definitely recommend it for dji drone owners. the card offers excellent performance, sufficient storage space and good value for money, making it an ideal choice for drone pilots.",i recently purchased the sandisk ultra microsdxc uhsi 128gb memory card from amazon to use as a memory expansion for my dji drone after a few weeks of intensive use i would like to share my experience and definitely recommend this memory cardspeed and performancethe sandisk ultra microsdxc card impressed me with its speed and performance the card achieves uhsi speed ratings of up to 120 mbs which is more than sufficient for recording highdefinition video and quickly transferring data on my drone setup the smooth playback of 4k videos and fast access time are remarkablecapacitythe 128gb capacity gives me enough storage for hours of video recording and numerous highresolution photos i dont have to worry about running out of storage space during a drone flightreliabilityso far i havent had any problems with data loss or card errors the sandisk ultra microsdxc uhsi card seems to be very reliable which is especially important for me as a drone pilot i can rely on my precious recordings being stored safelycompatibilitythe card is compatible with my dji drone without any problems and works flawlessly installing the memory card was straightforward and the drone recognised it immediatelyvalue for moneythe value for money of this sandisk ultra microsdxc card is excellent it offers plenty of storage space fast transfer speeds and high reliability at a fair price i purchased it from amazon at an attractive priceoverall i am extremely satisfied with the sandisk ultra microsdxc uhsi memory card 128 gb and can definitely recommend it for dji drone owners the card offers excellent performance sufficient storage space and good value for money making it an ideal choice for drone pilots,recently purchased sandisk ultra microsdxc uhsi 128gb memory card amazon use memory expansion dji drone weeks intensive use would like share experience definitely recommend memory cardspeed performancethe sandisk ultra microsdxc card impressed speed performance card achieves uhsi speed ratings 120 mbs sufficient recording highdefinition video quickly transferring data drone setup smooth playback 4k videos fast access time remarkablecapacitythe 128gb capacity gives enough storage hours video recording numerous highresolution photos dont worry running storage space drone flightreliabilityso far havent problems data loss card errors sandisk ultra microsdxc uhsi card seems reliable especially important drone pilot rely precious recordings stored safelycompatibilitythe card compatible dji drone without problems works flawlessly installing memory card straightforward drone recognised immediatelyvalue moneythe value money sandisk ultra microsdxc card excellent offers plenty storage space fast transfer speeds high reliability fair price purchased amazon attractive priceoverall extremely satisfied sandisk ultra microsdxc uhsi memory card 128 gb definitely recommend dji drone owners card offers excellent performance sufficient storage space good value money making ideal choice drone pilots,recently purchased sandisk ultra microsdxc uhsi 128gb memory card amazon use memory expansion dji drone weeks intensive use would like share experience definitely recommend memory cardspeed performancethe sandisk ultra microsdxc card impressed speed performance card achieves uhsi speed ratings 120 mbs sufficient recording highdefinition video quickly transferring data drone setup smooth playback 4k videos fast access time remarkablecapacitythe 128gb capacity gives enough storage hours video recording numerous highresolution photos dont worry running storage space drone flightreliabilityso far havent problems data loss card errors sandisk ultra microsdxc uhsi card seems reliable especially important drone pilot rely precious recordings stored safelycompatibilitythe card compatible dji drone without problems works flawlessly installing memory card straightforward drone recognised immediatelyvalue moneythe value money sandisk ultra microsdxc card excellent offers plenty storage space fast transfer speeds high reliability fair price purchased amazon attractive priceoverall extremely satisfied sandisk ultra microsdxc uhsi memory card 128 gb definitely recommend dji drone owners card offers excellent performance sufficient storage space good value money making ideal choice drone pilots,recently purchased sandisk ultra microsdxc uhsi 128gb memory card amazon use memory expansion dji drone week intensive use would like share experience definitely recommend memory cardspeed performancethe sandisk ultra microsdxc card impressed speed performance card achieves uhsi speed rating 120 mb sufficient recording highdefinition video quickly transferring data drone setup smooth playback 4k video fast access time remarkablecapacitythe 128gb capacity give enough storage hour video recording numerous highresolution photo dont worry running storage space drone flightreliabilityso far havent problem data loss card error sandisk ultra microsdxc uhsi card seems reliable especially important drone pilot rely precious recording stored safelycompatibilitythe card compatible dji drone without problem work flawlessly installing memory card straightforward drone recognised immediatelyvalue moneythe value money sandisk ultra microsdxc card excellent offer plenty storage space fast transfer speed high reliability fair price purchased amazon attractive priceoverall extremely satisfied sandisk ultra microsdxc uhsi memory card 128 gb definitely recommend dji drone owner card offer excellent performance sufficient storage space good value money making ideal choice drone pilot,0.4638405797101449,0.7332608695652173
1,"Seit Anfang Dezember 2021 habe ich mehrere dieser SD-Karten im Dauereinsatz in Überwachungskameras, draußen halbwegs gut geschützt im Kamaragehäuse im Winter bei -10 Grad und im Sommer bei +30 Grad.Bislang keine Aussetzer. Somit kann ich SanDisk und insbesondere diese microSDXC Class 10 Karte zum Kauf empfehlen.  Viel Spaß damit!",de,"Since the beginning of December 2021, I have had several of these SD cards in continuous use in surveillance cameras, outside reasonably well protected in the camera housing in winter at -10 degrees and in summer at +30 degrees.So far no dropouts. So I can recommend SanDisk and especially this microSDXC Class 10 card.  Have fun with it!","since the beginning of december 2021, i have had several of these sd cards in continuous use in surveillance cameras, outside reasonably well protected in the camera housing in winter at -10 degrees and in summer at +30 degrees.so far no dropouts. so i can recommend sandisk and especially this microsdxc class 10 card. have fun with it!",since the beginning of december 2021 i have had several of these sd cards in continuous use in surveillance cameras outside reasonably well protected in the camera housing in winter at 10 degrees and in summer at 30 degreesso far no dropouts so i can recommend sandisk and especially this microsdxc class 10 card have fun with it,since beginning december 2021 several sd cards continuous use surveillance cameras outside reasonably well protected camera housing winter 10 degrees summer 30 degreesso far dropouts recommend sandisk especially microsdxc class 10 card fun,since beginning december 2021 several sd cards continuous use surveillance cameras outside reasonably well protected camera housing winter 10 degrees summer 30 degreesso far dropouts recommend sandisk especially microsdxc class 10 card fun,since beginning december 2021 several sd card continuous use surveillance camera outside reasonably well protected camera housing winter 10 degree summer 30 degreesso far dropout recommend sandisk especially microsdxc class 10 card fun,0.10000000000000002,0.47500000000000003
2,"Die SanDisk Ultra microSDXC UHS-I Speicherkarte bietet viel Speicherplatz für meine Fotos, Videos und Musik. Die Übertragungsgeschwindigkeit ist schnell und ich hatte keine Probleme mit der Leistung. Die Karte ist auch sehr robust und hält den täglichen Gebrauch stand. Insgesamt bin ich sehr zufrieden mit meinem Kauf und empfehle diese Speicherkarte jedem, der viel Speicherplatz benötigt.",de,"The SanDisk Ultra microSDXC UHS-I memory card offers plenty of storage for my photos, videos and music. The transfer speed is fast and I had no problems with the performance. The card is also very robust and stands up to daily use. Overall, I am very happy with my purchase and recommend this memory card to anyone who needs a lot of storage space.","the sandisk ultra microsdxc uhs-i memory card offers plenty of storage for my photos, videos and music. the transfer speed is fast and i had no problems with the performance. the card is also very robust and stands up to daily use. overall, i am very happy with my purchase and recommend this memory card to anyone who needs a lot of storage space.",the sandisk ultra microsdxc uhsi memory card offers plenty of storage for my photos videos and music the transfer speed is fast and i had no problems with the performance the card is also very robust and stands up to daily use overall i am very happy with my purchase and recommend this memory card to anyone who needs a lot of storage space,sandisk ultra microsdxc uhsi memory card offers plenty storage photos videos music transfer speed fast problems performance card also robust stands daily use overall happy purchase recommend memory card anyone needs lot storage space,sandisk ultra microsdxc uhsi memory card offers plenty storage photos videos music transfer speed fast problems performance card also robust stands daily use overall happy purchase recommend memory card anyone needs lot storage space,sandisk ultra microsdxc uhsi memory card offer plenty storage photo video music transfer speed fast problem performance card also robust stand daily use overall happy purchase recommend memory card anyone need lot storage space,0.25,0.4
3,"Heute sind 32GB nicht mehr viel, aber für den Betrieb von z.B. Wildkameras unabdinglich, hier sehr billig.Die meißten Geräte erwarten aber, dass irgendwas drin ist.Mit 32GB kommt man schon ein stückweit mit Video- und Filmaufnahmen, für diesen Hammerpreis hier ist man dabei, der ist aktuell unschlagbar.Die Speicherkarte schreibt schnell genug für Hochaufgelöste Videos von Wild- oder Sekurity-Kameras!",de,"Today 32GB are not much, but for the operation of e.g. game cameras indispensable, here very cheap.The most devices expect, however, that something is in it.With 32GB one comes already a piece with video and film recordings, for this hammer price here one is there, which is currently unbeatable.The memory card writes fast enough for high-resolution videos of game or sekurity cameras!","today 32gb are not much, but for the operation of e.g. game cameras indispensable, here very cheap.the most devices expect, however, that something is in it.with 32gb one comes already a piece with video and film recordings, for this hammer price here one is there, which is currently unbeatable.the memory card writes fast enough for high-resolution videos of game or sekurity cameras!",today 32gb are not much but for the operation of eg game cameras indispensable here very cheapthe most devices expect however that something is in itwith 32gb one comes already a piece with video and film recordings for this hammer price here one is there which is currently unbeatablethe memory card writes fast enough for highresolution videos of game or sekurity cameras,today 32gb much operation eg game cameras indispensable cheapthe devices expect however something itwith 32gb one comes already piece video film recordings hammer price one currently unbeatablethe memory card writes fast enough highresolution videos game sekurity cameras,today 32gb much operation eg game cameras indispensable cheapthe devices expect however something itwith 32gb comes already piece video film recordings hammer price currently unbeatablethe memory card writes fast enough highresolution videos game sekurity cameras,today 32gb much operation eg game camera indispensable cheapthe device expect however something itwith 32gb come already piece video film recording hammer price currently unbeatablethe memory card writes fast enough highresolution video game sekurity camera,0.0,0.4857142857142857
4,"Sehr schnelle Lieferung, Produkt entspricht der Beschreibung, hab sehr gute Erfahrungen mit der SD Karte",de,"Very fast delivery, product corresponds to the description, very good experience with the SD card.","very fast delivery, product corresponds to the description, very good experience with the sd card.",very fast delivery product corresponds to the description very good experience with the sd card,fast delivery product corresponds description good experience sd card,fast delivery product corresponds description good experience sd card,fast delivery product corresponds description good experience sd card,0.44999999999999996,0.6000000000000001
5,"Ich habe diese Samsung 1 TB A1 Micro SD-Karte zum ersten Mal gekauft. Die Lesegeschwindigkeit ist mit 87 MB/s in Ordnung, aber die Schreibgeschwindigkeit ist mit 30 MB/s sehr langsam. Das bedeutet, dass das Laden von Spielen in Ordnung ist, wenn auch nicht schnell, aber das Kopieren von Spielen auf die Karte vom internen oder einem externen Laufwerk. Es ist schnell und zuverlässig, und Spiele können installiert oder auf die SD-Karten beider Konsolen verschoben und von dort ausgeführt werden praktisch so schnell wie der interne Speicher.",de,"I bought this Samsung 1 TB A1 Micro SD card for the first time. The read speed is okay at 87 MB/s, but the write speed is very slow at 30 MB/s. This means that loading games is okay, although not fast, but copying games to the card from the internal drive or an external drive. It's fast and reliable, and games can be installed or moved to and run from both consoles' SD cards virtually as fast as the internal storage.","i bought this samsung 1 tb a1 micro sd card for the first time. the read speed is okay at 87 mb/s, but the write speed is very slow at 30 mb/s. this means that loading games is okay, although not fast, but copying games to the card from the internal drive or an external drive. it's fast and reliable, and games can be installed or moved to and run from both consoles' sd cards virtually as fast as the internal storage.",i bought this samsung 1 tb a1 micro sd card for the first time the read speed is okay at 87 mbs but the write speed is very slow at 30 mbs this means that loading games is okay although not fast but copying games to the card from the internal drive or an external drive its fast and reliable and games can be installed or moved to and run from both consoles sd cards virtually as fast as the internal storage,bought samsung 1 tb a1 micro sd card first time read speed okay 87 mbs write speed slow 30 mbs means loading games okay although fast copying games card internal drive external drive fast reliable games installed moved run consoles sd cards virtually fast internal storage,bought samsung 1 tb a1 micro sd card first time read speed okay 87 mbs write speed slow 30 mbs means loading games okay although fast copying games card internal drive external drive fast reliable games installed moved run consoles sd cards virtually fast internal storage,bought samsung 1 tb a1 micro sd card first time read speed okay 87 mb write speed slow 30 mb mean loading game okay although fast copying game card internal drive external drive fast reliable game installed moved run console sd card virtually fast internal storage,0.002678571428571423,0.3943452380952381
6,"Perfektes Produkt, schade nur dass die neuen Smartphones lieber Profit mit Speicherplätzen und Clouds machen und man den Kunden lieber abzockt als dass man ihm einen erweiterbaren Speicherplatz gönnt.",de,"Perfect product, it's just a pity that the new smartphones prefer to make a profit with storage spaces and clouds and that they would rather rip off the customer than give him an expandable storage space.","perfect product, it's just a pity that the new smartphones prefer to make a profit with storage spaces and clouds and that they would rather rip off the customer than give him an expandable storage space.",perfect product its just a pity that the new smartphones prefer to make a profit with storage spaces and clouds and that they would rather rip off the customer than give him an expandable storage space,perfect product pity new smartphones prefer make profit storage spaces clouds would rather rip customer give expandable storage space,perfect product pity new smartphones prefer make profit storage spaces clouds would rather rip customer give expandable storage space,perfect product pity new smartphones prefer make profit storage space cloud would rather rip customer give expandable storage space,0.34545454545454546,0.5515151515151515
7,"Wir leider oft nicht als Karte erkannt im Handy. Lässt sich dann nicht beschreiben. Sreibschutz wird vom Handy angezeigt. Hilft dann nur ein Neustart des Handys.,das ist nervig.",de,"Unfortunately, it is often not recognised as a card in the mobile phone. It then cannot be written to. Write protection is displayed by the mobile phone. The only thing that helps is to restart the phone, which is annoying.","unfortunately, it is often not recognised as a card in the mobile phone. it then cannot be written to. write protection is displayed by the mobile phone. the only thing that helps is to restart the phone, which is annoying.",unfortunately it is often not recognised as a card in the mobile phone it then cannot be written to write protection is displayed by the mobile phone the only thing that helps is to restart the phone which is annoying,unfortunately often recognised card mobile phone cannot written write protection displayed mobile phone thing helps restart phone annoying,unfortunately often recognised card mobile phone cannot written write protection displayed mobile phone thing helps restart phone annoying,unfortunately often recognised card mobile phone cannot written write protection displayed mobile phone thing help restart phone annoying,-0.65,0.95
8,"Habe diese Speicherkarte für mein Handy gekauft, habe bis heute keine Probleme damit gehabt, Handy hat diese formatiert und alles gut.",de,"Bought this memory card for my phone, have had no problems with it to date, phone has formatted it and all good.","bought this memory card for my phone, have had no problems with it to date, phone has formatted it and all good.",bought this memory card for my phone have had no problems with it to date phone has formatted it and all good,bought memory card phone problems date phone formatted good,bought memory card phone problems date phone formatted good,bought memory card phone problem date phone formatted good,0.7,0.6000000000000001
9,Einfach zu handhaben wie beschrieben.,de,Easy to handle as described.,easy to handle as described.,easy to handle as described,easy handle described,easy handle described,easy handle described,0.43333333333333335,0.8333333333333334
