,Review,Language
0,"Ich hab das Set 3 mal bekommen . Das erste war nach 5 Monaten hinüber, das zweite nach einem Tag und das letzte nach 1Std. Jetzt war es mir zu doof die 3te Maschine auch wieder zurück zu senden, habe deshalb das Teil was defekt war im Internet bestellt und von Amazon eine Gutschrift bekommen. Trotz allem, ist man von Makita besseres Gewohnt. Hab noch eine Akkuflex gekauft mal sehen wie lange diese hält. Info kommt.",de
1,"Der Makita-Koffer hält, was er verspricht. Auch wenn der Koffer nicht mehr als ""handlich"" beschrieben werden kann, ist er doch kompakt und robust. Alles hat seinen Platz. Ich hatte bislang ein einfaches, aber grundsolides 14,4V-Markengerät für den Hausgebrauch. Der Unterschied zur 18V Makita mit hohem Drehmoment ist sehr deutlich spürbar. Verarbeitungsqualität und Lieferumfang ist sehr gut. Meine Lieferung war übrigens vollständig und intakt.",de
2,Ich hab den Koffer als Geschenk für meinen Mann bestellt da wir bereits gute Erfahrungen mit Makita gemacht haben. Ich war überzeugt von der Optik und natürlich des guten Inhaltes für den Preis . Der Alukoffer ist super stabil und lässt alles sicher und gut verstaut. Beide Akkus funktionieren einwandfrei und auch die Maschine bis jetzt . Man bekommt hier super Qualität und alles was man als leihe zuhause braucht für den Anfang zum guten Preis.1 Stern Abzug nur weil ich leider nichts über die Lebensdauer berichten kann da wir sie erst seit 2 Monaten besitzen .,de
3,"Es ist bereits unser 3. Gerät dieser Sorte und wir sind stets begeistert über Qualität, Effektivität und Robustheit der Makitageräte. Nur zu Empfehlen wenn man mit Akkus arbeiten möchte.",de
4,"Der gekaufte makita Akkuschrauber überzeugt mit tadelloser Qualität. Die Leistung der Maschine ist überragend und die Verarbeitung perfekt. Die Akkus laden sehr schnell und im Ladegerät selbst ist ein Lüfter verbaut, der vor Überhitzung schützt. Das beiliegende Zubehör ist ebenfalls von starker Qualität. Das einzige Manko, das zweimal das selbe Set an Bits im Koffer ist. Hier hätte man den Platz auch mit etwas anderem füllen können. Aber ganz klare Kaufempfehlung",de
5,Impressive tool.Totally recommendable.BR,en
6,Preisleistung passt Makita halt gerne wieder ,de
7,Guter Akkuschrauber der bisher gute Leistung gebracht hat.Toll finde ich das ausreichend Bit dabei sind  zudem nicht Bohrer und Handreher,de
8,alles ok.,da
9,Macht was es soll,de
