,Review,Language,Translated
0,"Ich hab das Set 3 mal bekommen . Das erste war nach 5 Monaten hinüber, das zweite nach einem Tag und das letzte nach 1Std. Jetzt war es mir zu doof die 3te Maschine auch wieder zurück zu senden, habe deshalb das Teil was defekt war im Internet bestellt und von Amazon eine Gutschrift bekommen. Trotz allem, ist man von Makita besseres Gewohnt. Hab noch eine Akkuflex gekauft mal sehen wie lange diese hält. Info kommt.",de,"I got the set 3 times. The first was broken after 5 months, the second after one day and the last after 1 hour. Now it was too stupid for me to send the third machine back, so I ordered the defective part on the internet and got a credit note from Amazon. Despite everything, I'm used to better from Makita. I bought another Akkuflex and will see how long it lasts. Info coming."
1,"Der Makita-Koffer hält, was er verspricht. Auch wenn der Koffer nicht mehr als ""handlich"" beschrieben werden kann, ist er doch kompakt und robust. Alles hat seinen Platz. Ich hatte bislang ein einfaches, aber grundsolides 14,4V-Markengerät für den Hausgebrauch. Der Unterschied zur 18V Makita mit hohem Drehmoment ist sehr deutlich spürbar. Verarbeitungsqualität und Lieferumfang ist sehr gut. Meine Lieferung war übrigens vollständig und intakt.",de,"The Makita case keeps its promise. Even though the case can no longer be described as ""handy"", it is still compact and robust. Everything has its place. I previously had a simple but rock-solid 14.4V branded tool for home use. The difference to the 18V Makita with high torque is very noticeable. Build quality and scope of delivery is very good. By the way, my delivery was complete and intact."
2,Ich hab den Koffer als Geschenk für meinen Mann bestellt da wir bereits gute Erfahrungen mit Makita gemacht haben. Ich war überzeugt von der Optik und natürlich des guten Inhaltes für den Preis . Der Alukoffer ist super stabil und lässt alles sicher und gut verstaut. Beide Akkus funktionieren einwandfrei und auch die Maschine bis jetzt . Man bekommt hier super Qualität und alles was man als leihe zuhause braucht für den Anfang zum guten Preis.1 Stern Abzug nur weil ich leider nichts über die Lebensdauer berichten kann da wir sie erst seit 2 Monaten besitzen .,de,I ordered the case as a gift for my husband because we already had good experiences with Makita. I was convinced by the look and of course the good content for the price. The aluminium case is super sturdy and keeps everything safe and well stored. Both batteries work perfectly and so does the machine so far. You get here super quality and everything you need as a leihe at home for the beginning at a good price.1 star deduction only because I unfortunately can not report anything about the life as we own it only for 2 months.
3,"Es ist bereits unser 3. Gerät dieser Sorte und wir sind stets begeistert über Qualität, Effektivität und Robustheit der Makitageräte. Nur zu Empfehlen wenn man mit Akkus arbeiten möchte.",de,"It is already our third tool of this type and we are always delighted with the quality, effectiveness and robustness of the Makita tools. Only to be recommended if you want to work with rechargeable batteries."
4,"Der gekaufte makita Akkuschrauber überzeugt mit tadelloser Qualität. Die Leistung der Maschine ist überragend und die Verarbeitung perfekt. Die Akkus laden sehr schnell und im Ladegerät selbst ist ein Lüfter verbaut, der vor Überhitzung schützt. Das beiliegende Zubehör ist ebenfalls von starker Qualität. Das einzige Manko, das zweimal das selbe Set an Bits im Koffer ist. Hier hätte man den Platz auch mit etwas anderem füllen können. Aber ganz klare Kaufempfehlung",de,The purchased makita cordless screwdriver convinces with impeccable quality. The performance of the machine is outstanding and the workmanship is perfect. The batteries charge very quickly and the charger itself has a fan that protects against overheating. The enclosed accessories are also of strong quality. The only drawback is that the same set of bits is in the case twice. The space could have been filled with something else. But a clear recommendation to buy
5,Impressive tool.Totally recommendable.BR,en,Impressive tool.Totally recommendable.BR
6,Preisleistung passt Makita halt gerne wieder ,de,Price performance fits Makita just gladly again
7,Guter Akkuschrauber der bisher gute Leistung gebracht hat.Toll finde ich das ausreichend Bit dabei sind  zudem nicht Bohrer und Handreher,de,"Good cordless screwdriver that has performed well so far. I think it's great that there are enough bits, not just drill bits and hand drivers."
8,alles ok.,da,Everything's fine.
9,Macht was es soll,de,Does what it should
